htime,haddend,hcum,vtime,vaddend,vcum,mess
0.66s,0.66s,660.0,0.1ms,0.1ms,0.1,
0.66s,0.51ms,660.51,0.1ms,0s,0.1, OpenSBI v0.9
0.66s,0.33ms,660.84,0.1ms,0s,0.1,    ____                    _____ ____ _____
0.66s,0.58ms,661.4200000000001,0.2ms,0.1ms,0.2,   / __ \                  / ____|  _ \_   _|
0.66s,0.22ms,661.6400000000001,0.2ms,0s,0.2,  | |  | |_ __   ___ _ __ | (___ | |_) || |
0.67s,0.68ms,662.32,0.3ms,0.1ms,0.30000000000000004,  | |  | | '_ \ / _ \ '_ \ \___ \|  _ < | |
0.67s,0.22ms,662.5400000000001,0.3ms,0s,0.30000000000000004,  | |__| | |_) |  __/ | | |____) | |_) || |_
0.67s,0.54ms,663.08,0.4ms,0.1ms,0.4,   \____/| .__/ \___|_| |_|_____/|____/_____|
0.67s,0.22ms,663.3000000000001,0.4ms,0s,0.4,         | |
0.67s,92µs,663.392,0.4ms,0s,0.4,         |_|
0.67s,86µs,663.4780000000001,0.4ms,0s,0.4,
0.68s,8.33ms,671.8080000000001,0.5ms,0.1ms,0.5, Platform Name             : StarFive VIC7100
0.68s,0.63ms,672.4380000000001,0.5ms,0s,0.5," Platform Features         : timer,mfdeleg"
0.68s,0.54ms,672.9780000000001,0.6ms,0.1ms,0.6, Platform HART Count       : 2
0.68s,0.35ms,673.3280000000001,0.6ms,0s,0.6, Firmware Base             : 0x80000000
0.68s,0.5ms,673.8280000000001,0.7ms,0.1ms,0.7, Firmware Size             : 92 KB
0.68s,0.2ms,674.0280000000001,0.7ms,0s,0.7, Runtime SBI Version       : 0.2
0.68s,94µs,674.1220000000002,0.7ms,0s,0.7,
0.68s,0.58ms,674.7020000000002,0.7ms,0s,0.7, Domain0 Name              : root
0.68s,0.57ms,675.2720000000003,0.8ms,0.1ms,0.7999999999999999, Domain0 Boot HART         : 1
0.68s,0.31ms,675.5820000000002,0.8ms,0s,0.7999999999999999," Domain0 HARTs             : 0*,1*"
0.68s,0.91ms,676.4920000000002,0.9ms,0.1ms,0.8999999999999999, Domain0 Region00          : 0x0000000080000000-0x000000008001ffff ()
0.68s,0.74ms,677.2320000000002,1ms,0.1ms,0.9999999999999999," Domain0 Region01          : 0x0000000000000000-0xffffffffffffffff (R,W,X)"
0.68s,0.22ms,677.4520000000002,1ms,0s,0.9999999999999999, Domain0 Next Address      : 0x0000000080020000
0.68s,0.47ms,677.9220000000003,1.1ms,0.1ms,1.0999999999999999, Domain0 Next Arg1         : 0x0000000088000000
0.68s,0.18ms,678.1020000000002,1.1ms,0s,1.0999999999999999, Domain0 Next Mode         : S-mode
0.68s,0.46ms,678.5620000000002,1.2ms,0.1ms,1.2, Domain0 SysReset          : yes
0.68s,0.12ms,678.6820000000002,1.2ms,0s,1.2,
0.69s,8.87ms,687.5520000000002,1.2ms,0s,1.2, Boot HART ID              : 1
0.69s,0.54ms,688.0920000000002,1.3ms,0.1ms,1.3, Boot HART Domain          : root
0.69s,0.36ms,688.4520000000002,1.3ms,0s,1.3, Boot HART ISA             : rv64imafdcs
0.69s,0.69ms,689.1420000000003,1.4ms,0.1ms,1.4000000000000001," Boot HART Features        : scounteren,mcounteren,time"
0.69s,0.17ms,689.3120000000002,1.4ms,0s,1.4000000000000001, Boot HART PMP Count       : 16
0.69s,0.17ms,689.4820000000002,1.4ms,0s,1.4000000000000001, Boot HART PMP Granularity : 4
0.69s,0.47ms,689.9520000000002,1.5ms,0.1ms,1.5000000000000002, Boot HART PMP Address Bits: 54
0.69s,0.2ms,690.1520000000003,1.5ms,0s,1.5000000000000002, Boot HART MHPM Count      : 0
0.69s,0.16ms,690.3120000000002,1.5ms,0s,1.5000000000000002, Boot HART MHPM Count      : 0
0.69s,0.59ms,690.9020000000003,1.6ms,0.1ms,1.6000000000000003, Boot HART MIDELEG         : 0x0000000000000222
0.69s,0.24ms,691.1420000000003,1.6ms,0s,1.6000000000000003, Boot HART MEDELEG         : 0x000000000000b109
0.81s,0.11s,801.1420000000003,32.6ms,31ms,32.6,
0.81s,75µs,801.2170000000003,32.6ms,0s,32.6,
0.81s,0.35ms,801.5670000000003,32.6ms,0s,32.6, U-Boot 2021.01-g7dac1a6e-dirty (Apr 26 2021 - 09:57:51 +0000)
