htime,haddend,hcum,vtime,vaddend,vcum,mess
0.19s,0.19s,190.0,0.53ms,0.53ms,0.53, *** Booting Zephyr OS build zephyr-v3.2.0  ***
0.19s,6.4ms,196.4,1.8ms,1.27ms,1.8," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.19s,0.24ms,196.64000000000001,1.8ms,0s,1.8,
0.19s,0.84ms,197.48000000000002,2ms,0.2ms,2.0," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.19s,71µs,197.55100000000002,2ms,0s,2.0,
0.19s,0.81ms,198.36100000000002,2.1ms,0.1ms,2.1," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.19s,70µs,198.431,2.1ms,0s,2.1,
0.19s,0.91ms,199.341,2.3ms,0.2ms,2.3000000000000003," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
0.19s,69µs,199.41,2.3ms,0s,2.3000000000000003,
0.2s,0.75ms,200.16,2.4ms,0.1ms,2.4000000000000004," x_value: 1.2566366*2^0, y_value: 1.9316229*2^-1"
0.2s,68µs,200.228,2.4ms,0s,2.4000000000000004,
0.2s,0.85ms,201.078,2.6ms,0.2ms,2.6000000000000005," x_value: 1.5707957*2^0, y_value: 1.0420598*2^0"
0.2s,70µs,201.148,2.6ms,0s,2.6000000000000005,
0.2s,0.79ms,201.938,2.7ms,0.1ms,2.7000000000000006," x_value: 1.8849551*2^0, y_value: 1.9146791*2^-1"
0.2s,83µs,202.021,2.7ms,0s,2.7000000000000006,
0.2s,0.83ms,202.851,2.9ms,0.2ms,2.900000000000001," x_value: 1.0995567*2^1, y_value: 1.6435742*2^-1"
0.2s,69µs,202.92,2.9ms,0s,2.900000000000001,
0.2s,0.78ms,203.7,3ms,0.1ms,3.000000000000001," x_value: 1.2566366*2^1, y_value: 1.0674761*2^-1"
0.2s,69µs,203.76899999999998,3ms,0s,3.000000000000001,
0.2s,0.82ms,204.58899999999997,3.2ms,0.2ms,3.200000000000001," x_value: 1.4137159*2^1, y_value: 1.8977352*2^-3"
0.2s,68µs,204.65699999999998,3.2ms,0s,3.200000000000001,
0.2s,0.77ms,205.427,3.3ms,0.1ms,3.300000000000001," x_value: 1.5707957*2^1, y_value: 1.0844199*2^-7"
0.2s,98µs,205.525,3.3ms,0s,3.300000000000001,
0.2s,0.89ms,206.415,3.5ms,0.2ms,3.5000000000000013," x_value: 1.7278753*2^1, y_value: -1.2199725*2^-2"
0.2s,0.15ms,206.565,3.5ms,0s,3.5000000000000013,
0.2s,0.84ms,207.405,3.6ms,0.1ms,3.6000000000000014," x_value: 1.8849551*2^1, y_value: -1.0674761*2^-1"
0.2s,68µs,207.473,3.6ms,0s,3.6000000000000014,
0.2s,0.77ms,208.24300000000002,3.8ms,0.2ms,3.8000000000000016," x_value: 1.0210171*2^2, y_value: -1.5588537*2^-1"
0.2s,0.11ms,208.35300000000004,3.8ms,0s,3.8000000000000016,
0.2s,0.75ms,209.10300000000004,3.9ms,0.1ms,3.9000000000000017," x_value: 1.0995567*2^2, y_value: -1.9316229*2^-1"
0.2s,68µs,209.17100000000005,3.9ms,0s,3.9000000000000017,
0.21s,0.83ms,210.00100000000006,4.1ms,0.2ms,4.100000000000001," x_value: 1.1780966*2^2, y_value: -1.1098361*2^0"
0.21s,69µs,210.07000000000005,4.1ms,0s,4.100000000000001,
0.21s,0.79ms,210.86000000000004,4.2ms,0.1ms,4.200000000000001," x_value: 1.2566366*2^2, y_value: -1.965511*2^-1"
0.21s,68µs,210.92800000000005,4.2ms,0s,4.200000000000001,
0.21s,0.82ms,211.74800000000005,4.4ms,0.2ms,4.400000000000001," x_value: 1.3351763*2^2, y_value: -1.4910772*2^-1"
0.21s,69µs,211.81700000000004,4.4ms,0s,4.400000000000001,
0.21s,0.84ms,212.65700000000004,4.5ms,0.1ms,4.500000000000001," x_value: 1.4137159*2^2, y_value: -1.0674761*2^-1"
0.21s,0.11ms,212.76700000000005,4.5ms,0s,4.500000000000001,
0.21s,0.94ms,213.70700000000005,4.7ms,0.2ms,4.700000000000001," x_value: 1.4922558*2^2, y_value: -1.4233011*2^-2"
0.21s,0.11ms,213.81700000000006,4.7ms,0s,4.700000000000001,
0.21s,0.8ms,214.61700000000008,4.8ms,0.1ms,4.800000000000001," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.21s,0.11ms,214.7270000000001,4.8ms,0s,4.800000000000001,
0.21s,0.92ms,215.64700000000008,5ms,0.2ms,5.000000000000001," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.21s,0.11ms,215.7570000000001,5ms,0s,5.000000000000001,
0.21s,0.85ms,216.60700000000008,5.1ms,0.1ms,5.1000000000000005," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.21s,0.11ms,216.7170000000001,5.1ms,0s,5.1000000000000005,
0.21s,0.86ms,217.5770000000001,5.3ms,0.2ms,5.300000000000001," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
0.21s,98µs,217.67500000000013,5.3ms,0s,5.300000000000001,
0.21s,0.8ms,218.47500000000014,5.4ms,0.1ms,5.4," x_value: 1.2566366*2^0, y_value: 1.9316229*2^-1"
0.21s,72µs,218.54700000000014,5.4ms,0s,5.4,
0.21s,0.8ms,219.34700000000015,5.6ms,0.2ms,5.6000000000000005," x_value: 1.5707957*2^0, y_value: 1.0420598*2^0"
0.21s,69µs,219.41600000000014,5.6ms,0s,5.6000000000000005,
0.22s,0.73ms,220.14600000000013,5.7ms,0.1ms,5.7," x_value: 1.8849551*2^0, y_value: 1.9146791*2^-1"
0.22s,69µs,220.21500000000012,5.7ms,0s,5.7,
0.22s,0.8ms,221.01500000000013,5.9ms,0.2ms,5.9," x_value: 1.0995567*2^1, y_value: 1.6435742*2^-1"
0.22s,69µs,221.08400000000012,5.9ms,0s,5.9,
0.22s,0.77ms,221.85400000000013,6ms,0.1ms,6.0," x_value: 1.2566366*2^1, y_value: 1.0674761*2^-1"
0.22s,87µs,221.94100000000012,6ms,0s,6.0,
0.22s,0.88ms,222.8210000000001,6.2ms,0.2ms,6.2," x_value: 1.4137159*2^1, y_value: 1.8977352*2^-3"
0.22s,0.11ms,222.93100000000013,6.2ms,0s,6.2,
0.22s,0.9ms,223.83100000000013,6.3ms,0.1ms,6.3," x_value: 1.5707957*2^1, y_value: 1.0844199*2^-7"
0.22s,77µs,223.90800000000013,6.3ms,0s,6.3,
0.22s,0.83ms,224.73800000000014,6.5ms,0.2ms,6.5," x_value: 1.7278753*2^1, y_value: -1.2199725*2^-2"
0.22s,74µs,224.81200000000015,6.5ms,0s,6.5,
0.22s,0.79ms,225.60200000000015,6.6ms,0.1ms,6.6," x_value: 1.8849551*2^1, y_value: -1.0674761*2^-1"
0.22s,72µs,225.67400000000015,6.6ms,0s,6.6,
0.22s,0.83ms,226.50400000000016,6.8ms,0.2ms,6.8," x_value: 1.0210171*2^2, y_value: -1.5588537*2^-1"
0.22s,75µs,226.57900000000015,6.8ms,0s,6.8,
0.22s,1.8ms,228.37900000000016,6.9ms,0.1ms,6.8999999999999995," x_value: 1.0995567*2^2, y_value: -1.9316229*2^-1"
0.22s,0.12ms,228.49900000000017,6.9ms,0s,6.8999999999999995,
0.22s,0.86ms,229.35900000000018,7.1ms,0.2ms,7.1," x_value: 1.1780966*2^2, y_value: -1.1098361*2^0"
0.23s,0.11ms,229.4690000000002,7.1ms,0s,7.1,
0.23s,0.84ms,230.3090000000002,7.2ms,0.1ms,7.199999999999999," x_value: 1.2566366*2^2, y_value: -1.965511*2^-1"
0.23s,0.11ms,230.4190000000002,7.2ms,0s,7.199999999999999,
0.23s,0.84ms,231.2590000000002,7.4ms,0.2ms,7.3999999999999995," x_value: 1.3351763*2^2, y_value: -1.4910772*2^-1"
0.23s,84µs,231.34300000000022,7.4ms,0s,7.3999999999999995,
0.23s,0.82ms,232.1630000000002,7.5ms,0.1ms,7.499999999999999," x_value: 1.4137159*2^2, y_value: -1.0674761*2^-1"
0.23s,83µs,232.2460000000002,7.5ms,0s,7.499999999999999,
0.23s,0.81ms,233.0560000000002,7.7ms,0.2ms,7.699999999999999," x_value: 1.4922558*2^2, y_value: -1.4233011*2^-2"
0.23s,72µs,233.1280000000002,7.7ms,0s,7.699999999999999,
0.23s,0.72ms,233.8480000000002,7.8ms,0.1ms,7.799999999999999," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.23s,70µs,233.9180000000002,7.8ms,0s,7.799999999999999,
0.23s,0.82ms,234.7380000000002,8ms,0.2ms,7.999999999999999," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.23s,74µs,234.8120000000002,8ms,0s,7.999999999999999,
0.23s,0.77ms,235.58200000000022,8.1ms,0.1ms,8.1," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.23s,71µs,235.65300000000022,8.1ms,0s,8.1,
0.23s,0.81ms,236.46300000000022,8.3ms,0.2ms,8.299999999999999," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
0.23s,72µs,236.53500000000022,8.3ms,0s,8.299999999999999,
0.23s,0.77ms,237.30500000000023,8.4ms,0.1ms,8.399999999999999," x_value: 1.2566366*2^0, y_value: 1.9316229*2^-1"
0.23s,72µs,237.37700000000024,8.4ms,0s,8.399999999999999,
0.23s,0.77ms,238.14700000000025,8.6ms,0.2ms,8.599999999999998," x_value: 1.5707957*2^0, y_value: 1.0420598*2^0"
0.23s,70µs,238.21700000000024,8.6ms,0s,8.599999999999998,
0.23s,0.77ms,238.98700000000025,8.7ms,0.1ms,8.699999999999998," x_value: 1.8849551*2^0, y_value: 1.9146791*2^-1"
0.23s,71µs,239.05800000000025,8.7ms,0s,8.699999999999998,
0.24s,0.81ms,239.86800000000025,8.9ms,0.2ms,8.899999999999997," x_value: 1.0995567*2^1, y_value: 1.6435742*2^-1"
0.24s,71µs,239.93900000000025,8.9ms,0s,8.899999999999997,
0.24s,0.77ms,240.70900000000026,9ms,0.1ms,8.999999999999996," x_value: 1.2566366*2^1, y_value: 1.0674761*2^-1"
0.24s,72µs,240.78100000000026,9ms,0s,8.999999999999996,
0.24s,0.81ms,241.59100000000026,9.2ms,0.2ms,9.199999999999996," x_value: 1.4137159*2^1, y_value: 1.8977352*2^-3"
0.24s,72µs,241.66300000000027,9.2ms,0s,9.199999999999996,
