htime,haddend,hcum,vtime,vaddend,vcum,mess
0.21s,0.21s,210.0,0.52ms,0.52ms,0.52, *** Booting Zephyr OS build zephyr-v3.2.0  ***
0.23s,20.55ms,230.55,1.8ms,1.28ms,1.8," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.23s,0.36ms,230.91000000000003,1.8ms,0s,1.8,
0.24s,0.67ms,231.58,2ms,0.2ms,2.0," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.24s,52µs,231.632,2ms,0s,2.0,
0.24s,0.26ms,231.892,2.1ms,0.1ms,2.1," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.24s,48µs,231.94,2.1ms,0s,2.1,
0.24s,0.42ms,232.35999999999999,2.3ms,0.2ms,2.3000000000000003," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
0.24s,69µs,232.42899999999997,2.3ms,0s,2.3000000000000003,
0.24s,0.33ms,232.759,2.4ms,0.1ms,2.4000000000000004," x_value: 1.2566366*2^0, y_value: 1.9316229*2^-1"
0.24s,48µs,232.807,2.4ms,0s,2.4000000000000004,
0.24s,0.37ms,233.177,2.6ms,0.2ms,2.6000000000000005," x_value: 1.5707957*2^0, y_value: 1.0420598*2^0"
0.24s,47µs,233.224,2.6ms,0s,2.6000000000000005,
0.24s,0.31ms,233.534,2.7ms,0.1ms,2.7000000000000006," x_value: 1.8849551*2^0, y_value: 1.9146791*2^-1"
0.24s,48µs,233.582,2.7ms,0s,2.7000000000000006,
0.24s,0.38ms,233.962,2.9ms,0.2ms,2.900000000000001," x_value: 1.0995567*2^1, y_value: 1.6435742*2^-1"
0.24s,47µs,234.009,2.9ms,0s,2.900000000000001,
0.24s,0.35ms,234.35899999999998,3ms,0.1ms,3.000000000000001," x_value: 1.2566366*2^1, y_value: 1.0674761*2^-1"
0.24s,47µs,234.40599999999998,3ms,0s,3.000000000000001,
0.24s,0.32ms,234.72599999999997,3.2ms,0.2ms,3.200000000000001," x_value: 1.4137159*2^1, y_value: 1.8977352*2^-3"
0.24s,46µs,234.77199999999996,3.2ms,0s,3.200000000000001,
0.24s,0.35ms,235.12199999999996,3.3ms,0.1ms,3.300000000000001," x_value: 1.5707957*2^1, y_value: 1.0844199*2^-7"
0.24s,47µs,235.16899999999995,3.3ms,0s,3.300000000000001,
0.24s,0.42ms,235.58899999999994,3.5ms,0.2ms,3.5000000000000013," x_value: 1.7278753*2^1, y_value: -1.2199725*2^-2"
0.24s,47µs,235.63599999999994,3.5ms,0s,3.5000000000000013,
0.24s,0.31ms,235.94599999999994,3.6ms,0.1ms,3.6000000000000014," x_value: 1.8849551*2^1, y_value: -1.0674761*2^-1"
0.24s,48µs,235.99399999999994,3.6ms,0s,3.6000000000000014,
0.24s,0.41ms,236.40399999999994,3.8ms,0.2ms,3.8000000000000016," x_value: 1.0210171*2^2, y_value: -1.5588537*2^-1"
0.24s,47µs,236.45099999999994,3.8ms,0s,3.8000000000000016,
0.24s,0.29ms,236.74099999999993,3.9ms,0.1ms,3.9000000000000017," x_value: 1.0995567*2^2, y_value: -1.9316229*2^-1"
0.24s,47µs,236.78799999999993,3.9ms,0s,3.9000000000000017,
0.24s,0.37ms,237.15799999999993,4.1ms,0.2ms,4.100000000000001," x_value: 1.1780966*2^2, y_value: -1.1098361*2^0"
0.24s,48µs,237.20599999999993,4.1ms,0s,4.100000000000001,
0.24s,0.28ms,237.48599999999993,4.2ms,0.1ms,4.200000000000001," x_value: 1.2566366*2^2, y_value: -1.965511*2^-1"
0.24s,47µs,237.53299999999993,4.2ms,0s,4.200000000000001,
0.24s,0.36ms,237.89299999999994,4.4ms,0.2ms,4.400000000000001," x_value: 1.3351763*2^2, y_value: -1.4910772*2^-1"
0.24s,48µs,237.94099999999995,4.4ms,0s,4.400000000000001,
0.24s,0.33ms,238.27099999999996,4.5ms,0.1ms,4.500000000000001," x_value: 1.4137159*2^2, y_value: -1.0674761*2^-1"
0.24s,47µs,238.31799999999996,4.5ms,0s,4.500000000000001,
0.24s,0.35ms,238.66799999999995,4.7ms,0.2ms,4.700000000000001," x_value: 1.4922558*2^2, y_value: -1.4233011*2^-2"
0.24s,47µs,238.71499999999995,4.7ms,0s,4.700000000000001,
0.24s,0.31ms,239.02499999999995,4.8ms,0.1ms,4.800000000000001," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.24s,87µs,239.11199999999994,4.8ms,0s,4.800000000000001,
0.24s,0.34ms,239.45199999999994,5ms,0.2ms,5.000000000000001," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.24s,49µs,239.50099999999995,5ms,0s,5.000000000000001,
0.24s,0.31ms,239.81099999999995,5.1ms,0.1ms,5.1000000000000005," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.24s,49µs,239.85999999999996,5.1ms,0s,5.1000000000000005,
0.24s,0.41ms,240.26999999999995,5.3ms,0.2ms,5.300000000000001," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
0.24s,49µs,240.31899999999996,5.3ms,0s,5.300000000000001,
0.24s,0.29ms,240.60899999999995,5.4ms,0.1ms,5.4," x_value: 1.2566366*2^0, y_value: 1.9316229*2^-1"
0.24s,48µs,240.65699999999995,5.4ms,0s,5.4,
0.24s,0.31ms,240.96699999999996,5.6ms,0.2ms,5.6000000000000005," x_value: 1.5707957*2^0, y_value: 1.0420598*2^0"
0.24s,47µs,241.01399999999995,5.6ms,0s,5.6000000000000005,
0.25s,0.34ms,241.35399999999996,5.7ms,0.1ms,5.7," x_value: 1.8849551*2^0, y_value: 1.9146791*2^-1"
0.25s,48µs,241.40199999999996,5.7ms,0s,5.7,
0.25s,0.31ms,241.71199999999996,5.9ms,0.2ms,5.9," x_value: 1.0995567*2^1, y_value: 1.6435742*2^-1"
0.25s,47µs,241.75899999999996,5.9ms,0s,5.9,
0.25s,0.34ms,242.09899999999996,6ms,0.1ms,6.0," x_value: 1.2566366*2^1, y_value: 1.0674761*2^-1"
0.25s,47µs,242.14599999999996,6ms,0s,6.0,
0.25s,0.34ms,242.48599999999996,6.2ms,0.2ms,6.2," x_value: 1.4137159*2^1, y_value: 1.8977352*2^-3"
0.25s,47µs,242.53299999999996,6.2ms,0s,6.2,
0.25s,0.3ms,242.83299999999997,6.3ms,0.1ms,6.3," x_value: 1.5707957*2^1, y_value: 1.0844199*2^-7"
0.25s,48µs,242.88099999999997,6.3ms,0s,6.3,
0.25s,0.41ms,243.29099999999997,6.5ms,0.2ms,6.5," x_value: 1.7278753*2^1, y_value: -1.2199725*2^-2"
0.25s,47µs,243.33799999999997,6.5ms,0s,6.5,
0.25s,0.31ms,243.64799999999997,6.6ms,0.1ms,6.6," x_value: 1.8849551*2^1, y_value: -1.0674761*2^-1"
0.25s,48µs,243.69599999999997,6.6ms,0s,6.6,
0.25s,0.32ms,244.01599999999996,6.8ms,0.2ms,6.8," x_value: 1.0210171*2^2, y_value: -1.5588537*2^-1"
0.25s,80µs,244.09599999999998,6.8ms,0s,6.8,
0.25s,0.3ms,244.396,6.9ms,0.1ms,6.8999999999999995," x_value: 1.0995567*2^2, y_value: -1.9316229*2^-1"
0.25s,48µs,244.444,6.9ms,0s,6.8999999999999995,
0.25s,0.36ms,244.804,7.1ms,0.2ms,7.1," x_value: 1.1780966*2^2, y_value: -1.1098361*2^0"
0.25s,50µs,244.854,7.1ms,0s,7.1,
0.25s,1.32ms,246.174,7.2ms,0.1ms,7.199999999999999," x_value: 1.2566366*2^2, y_value: -1.965511*2^-1"
0.25s,51µs,246.225,7.2ms,0s,7.199999999999999,
0.25s,0.37ms,246.595,7.4ms,0.2ms,7.3999999999999995," x_value: 1.3351763*2^2, y_value: -1.4910772*2^-1"
0.25s,48µs,246.643,7.4ms,0s,7.3999999999999995,
0.25s,0.31ms,246.953,7.5ms,0.1ms,7.499999999999999," x_value: 1.4137159*2^2, y_value: -1.0674761*2^-1"
0.25s,48µs,247.001,7.5ms,0s,7.499999999999999,
0.25s,0.38ms,247.381,7.7ms,0.2ms,7.699999999999999," x_value: 1.4922558*2^2, y_value: -1.4233011*2^-2"
0.25s,47µs,247.428,7.7ms,0s,7.699999999999999,
0.25s,0.27ms,247.698,7.8ms,0.1ms,7.799999999999999," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.25s,48µs,247.746,7.8ms,0s,7.799999999999999,
0.25s,0.38ms,248.126,8ms,0.2ms,7.999999999999999," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.25s,48µs,248.174,8ms,0s,7.999999999999999,
0.25s,0.24ms,248.41400000000002,8.1ms,0.1ms,8.1," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.25s,46µs,248.46,8.1ms,0s,8.1,
0.25s,0.36ms,248.82000000000002,8.3ms,0.2ms,8.299999999999999," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
0.25s,71µs,248.89100000000002,8.3ms,0s,8.299999999999999,
0.25s,0.32ms,249.211,8.4ms,0.1ms,8.399999999999999," x_value: 1.2566366*2^0, y_value: 1.9316229*2^-1"
0.25s,48µs,249.25900000000001,8.4ms,0s,8.399999999999999,
